carbon_reference_entity
Apples
Bananas
Barley
Beef (beef herd)
Beef (dairy herd)
Beet Sugar
Berries & Grapes
Brassicas
Cane Sugar
Cassava
Cheese
Citrus Fruit
Coffee
Dark Chocolate
Eggs
Fish (farmed)
Groundnuts
Lamb & Mutton
Maize
Milk
Nuts
Oatmeal
Olive Oil
Onions & Leeks
Other Fruit
Other Pulses
Other Vegetables
Palm Oil
Peas
Pig Meat
Potatoes
Poultry Meat
Rapeseed Oil
Rice
Root Vegetables
Shrimps (farmed)
Soy milk
Soybean Oil
Sunflower Oil
Tofu
Tomatoes
Wheat & Rye
Wine
