constraint_label,positive_count,positive_ratio
contains_beef,2438,0.09514888966943762
contains_pork,3337,0.13023455489208913
contains_chicken,4586,0.17897982281543925
contains_fish,1173,0.045779182765484136
contains_meat,10241,0.3996799750224408
vegetarian_like,15382,0.6003200249775592
high_protein,7822,0.30527260664246963
low_calorie,7690,0.3001209850524919
low_sugar,7711,0.30094056121453383
low_sodium,7822,0.30527260664246963
low_carbon,10109,0.394528353432463
